gen,avg,min,avg_smape,min_smape,nevals
0,0.06588251694707664,0.06245690450057456,6.326281684812809,6.015329300315817,20
1,0.06498285958351915,0.0632729364148307,6.252095000720474,6.113118458125305,19
2,0.06436999836687915,0.06309640947067754,6.199612449041368,6.095547930175077,14
3,0.06351380809798166,0.06301931609627884,6.132798098347309,6.086810220389483,18
4,0.06352183240291709,0.06293522813522537,6.1362399697026415,6.081705401673301,14
5,0.06317446393499154,0.06279877677390315,6.103607199794275,6.063581668440441,15
6,0.06333249949791109,0.06279877677390315,6.1129924472250154,6.063581668440441,14
7,0.06314947675546384,0.06279877677390315,6.095275944761232,6.063581668440441,14
8,0.06335614373151542,0.06279877677390315,6.111180387092478,6.063581668440441,15
9,0.0629745211837547,0.06279877677390315,6.080964663562898,6.063581668440441,20
10,0.06288969445734446,0.06279877677390315,6.074218861638727,6.063581668440441,19
